Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6mNMp0g3zkg1K7uBpn07zl,"Red Lips (feat. Sam Bruno) - Skrillex Remix","Red Lips (feat. Sam Bruno) [Skrillex Remix]","Good Times Ahead;Sam Bruno;Skrillex",2015-11-30,223448,56,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:23:00Z,"dubstep,edm,electro,eletronic","OWSLA/Atlantic",0.528,0.983,8,-3.133,1,0.146,0.000518,0.000324,0.18,0.141,144.981,4
spotify:track:5AsB27TnORzXZHAmeolmzk,"Relicário","Relicário","Menestrel",2017-05-15,191933,0,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:23:04Z,"hip hop brasileiro,trap brasileiro,boom bap","Menestrel",0.77,0.677,7,-7.275,1,0.11,0.597,0.000174,0.328,0.503,85.99,4
spotify:track:5yVK0yIimJJDiFkFSTgQSd,"Respeito É pra Quem Tem","Rap É Compromisso (Edição Comemorativa)","Sabotage;DBS Gordão Chefe;RZO",2014-11-20,329920,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:23:12Z,"hip hop brasileiro,boom bap","Sabotage",0.898,0.551,9,-7.482,0,0.359,0.044,0,0.206,0.716,84.603,4
spotify:track:4rIcm4w3ZfRCcSPUJI1yR4,"Rest in Love","Rest in Love","Nous Nizzy",2019-04-05,196689,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:23:15Z,"","Diskover Co.",0.726,0.478,4,-5.7,1,0.052,0.577,0,0.0849,0.405,126.827,4
spotify:track:1tiC8QJASx6lGHBMEpFawS,"Right Now","Right Now","Fabian Mazur;Luude",2016-07-18,180428,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:23:28Z,"edm trap,future bass,drum and bass","Trap Nation",0.608,0.758,8,-6.202,0,0.0552,0.144,0,0.328,0.383,140.031,4
spotify:track:1dYw8HTRJnFpeEeMtXj99a,"ROADS UNTRAVELED","LIVING THINGS","Linkin Park",2012-06-19,229933,70,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:23:55Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.599,0.788,8,-6.25,0,0.0294,0.263,0.00525,0.155,0.581,100.001,3
spotify:track:0pSBuHjILhNEo55xK1zrRt,"Rolex","Rolex","Ayo & Teo",2017-03-15,238586,71,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:07Z,"","Columbia",0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,4
spotify:track:3yvZ1VUso9Xi7EvIyLaj4o,"Royals","Pure Heroine","Lorde",2013-01-01,190185,2,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:24Z,"","Universal Music Group",0.636,0.436,7,-9.524,1,0.139,0.112,0,0.135,0.331,84.804,4
spotify:track:4ESPuOrSsRcBISzcMlzmY5,"Sad (feat. Afrojack)","Sad (feat. Afrojack)","Chico Rose;AFROJACK",2019-08-30,161280,58,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:31Z,"slap house,edm,big room","Spinnin' Records",0.717,0.716,3,-5.485,0,0.0432,0.0421,0.000467,0.0699,0.206,125.064,4
spotify:track:5xhQChGGhKLWqBqX4XhtYE,"Sail","Megalithic Symphony Deluxe","AWOLNATION",2011,259102,6,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:35Z,"","Red Bull Records",0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,4
spotify:track:3upTRzMBp7rRw7Paxq2G9W,"Sensual Girl","Sensual Girl","Mc Davi;Costa Gold",2017-04-29,223738,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:45Z,"funk,funk consciente,trap funk,hip hop brasileiro,trap brasileiro,boom bap","GR6 MUSIC",0.809,0.399,1,-10.484,1,0.247,0.247,0,0.12,0.383,122.9,4
spotify:track:3ctoHckjyd13eBi2IDw2Ip,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,231800,4,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:50Z,"garage rock,blues rock,rock,rock alternativo","",0.75,0.462,0,-7.664,1,0.0779,0.00576,0.545,0.307,0.309,123.865,4
spotify:track:1jKv2VBMGnhPDsnZQoaq1j,"Sexta-Feira","Sexta-Feira","Dan Lellis;Pacificadores",2016-12-01,188853,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:24:55Z,"hip hop brasileiro","Dan Lellis Feat Pacificadores",0.797,0.295,1,-13.334,0,0.0588,0.371,0.000227,0.0942,0.403,138,4
spotify:track:70Vdd1gx5tn84jkAU31ASv,"Sexy And I Know It","Sorry For Party Rocking","LMFAO",2011-01-01,199480,74,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:00Z,"","Will I Am / A&M",0.708,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.043,4
spotify:track:1f3yAtsJtY87CTmM8RLnxf,"Smells Like Teen Spirit","Nevermind (Deluxe Edition)","Nirvana",1991-09-26,301920,13,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:07Z,"grunge,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
spotify:track:76iGl4eTKT08bjC3NGF9I0,"Somewhere to Run - Lost Kings Nu Disco Remix","Somewhere to Run - Lost Kings (Remixes)","Krewella;Lost Kings",2015-07-22,216346,22,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:17Z,"edm,dubstep","Columbia",0.636,0.882,5,-1.784,0,0.0516,0.0411,0.000722,0.315,0.671,124.994,4
spotify:track:3JiyUyibMs31de0hmoeSK9,"Speakerbox (feat. Ohana Bam & Lafa Taylor) - F8 Remix","Fast & Furious 8: The Album","Bassnectar;Ohana Bam;Lafa Taylor",2017-04-14,188906,50,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:31Z,"dubstep,bass music,dub","Artist Partner",0.576,0.88,8,-2.01,0,0.126,0.0208,0.0000899,0.334,0.514,87.969,4
spotify:track:3UOuBNEin5peSRqdzvlnWM,"Still D.R.E.","2001","Dr. Dre;Snoop Dogg",1999-11-16,270666,6,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:43Z,"hip hop old school,g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.814,0.781,11,-3.33,1,0.233,0.17,0.000518,0.052,0.536,93.445,4
