Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4UnHvRgrQhh9VJymluze77,"BOUTIQUE","MAGIC SHOW","Nagalli;LEALL;Supernova Ent",2024-04-25,146651,39,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-26T02:15:48Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,boom bap,grime","Supernova Ent",0.695,0.478,8,-5.626,1,0.132,0.213,0,0.173,0.212,143.941,4
spotify:track:39O5jUbXuRmtSLtW0t46yk,"After Party","After Party","Japa;Borges;JD On Tha Track;Lucchini",2024-02-21,187480,46,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-17T10:31:35Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","JAPA OFICIAL",0.718,0.696,0,-4.31,0,0.145,0.333,0,0.0988,0.598,120.026,4
spotify:track:4NcTy4WmEiprBQXkgKACdY,"Apocalipse 1: 18-19 (Intro)","SEMRÉH","Ryu, The Runner",2024-05-23,72011,31,false,8jtopaclkzi6fkcxvnzy3t27q,2024-05-24T10:40:57Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Som Livre",0.472,0.199,2,-8.723,0,0.106,0.5,0.0000102,0.271,0.471,103.748,4
spotify:track:4cj1z2FqEerl5L0SCmeNBZ,"Heureca","SEMRÉH","Ryu, The Runner;6ee;Iuri Rio Branco",2024-05-23,152996,45,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-24T10:44:20Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,boom bap","Som Livre",0.734,0.605,7,-5.665,1,0.0865,0.767,0.00000208,0.162,0.668,138,4
spotify:track:616O3f20hgTgpmiZf7XgEI,"Embalo","SEMRÉH","Ryu, The Runner;Yunk Vino;Teto",2024-05-23,185138,59,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-24T10:47:27Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Som Livre",0.537,0.601,5,-6.093,0,0.296,0.162,0,0.104,0.581,93.444,5
spotify:track:0euUJLQsKhMThMKO07qk01,"C.E.O'S (BÔNUS TRACK)","MAGIC SHOW (DELUXE)","Nagalli;Alee;Djonga;Supernova Ent",2024-05-26,166449,40,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-26T23:27:29Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,boom bap","Supernova Ent",0.866,0.486,1,-4.943,1,0.388,0.111,0.00000844,0.0967,0.185,118.99,4
spotify:track:2XdFauLk4oDWT1dKLLxFPs,"SEMRÉH","SEMRÉH","Ryu, The Runner;BK;6ee",2024-05-23,147967,45,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-26T23:27:47Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,boom bap","Som Livre",0.758,0.635,2,-5.804,0,0.124,0.534,0,0.14,0.69,141.947,4
spotify:track:0WFFAnfXsdpxujIPmJVSjQ,"Olhos de Lion","Olhos de Lion","Lou Garcia;Vk Mac",2023-11-24,167241,24,false,8jtopaclkzi6fkcxvnzy3t27q,2024-05-27T02:45:58Z,"pop nacional,trap brasileiro,hip hop brasileiro,trap","Universal Music Ltda.",0.584,0.529,9,-9.408,0,0.081,0.0389,0,0.124,0.528,138.872,4
spotify:track:2pgmBocir7WJTM0HZ9yCgu,"MATHEMATICAL DISRESPECT","YOUNG GENIUS","Lil Mabu",2024-04-05,88304,51,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-29T19:24:58Z,"drill de nova iorque,drill","YOUNG GENIUS ACADEMY INC.",0.783,0.489,10,-8.575,0,0.332,0.0586,0,0.283,0.451,146.81,4
spotify:track:7AJYW0SKABcwCW4HnsDIWh,"UNDERDOG SONG (feat. Lil Baby)","YOUNG GENIUS","Lil Mabu;Lil Baby",2024-04-05,159452,38,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-29T19:27:25Z,"drill de nova iorque,drill","YOUNG GENIUS ACADEMY INC.",0.714,0.41,11,-11.884,0,0.108,0.027,0,0.27,0.132,145.935,4
spotify:track:1SJ8TsdRVKevupbQi4SZHL,"THROW (feat. DD Osama)","YOUNG GENIUS","Lil Mabu;DD Osama",2024-04-05,138308,56,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-29T19:27:55Z,"drill de nova iorque,drill","YOUNG GENIUS ACADEMY INC.",0.585,0.491,1,-9.544,1,0.386,0.229,0,0.146,0.357,147.059,4
spotify:track:2ZAscy30lt9RTJYM4hh7xm,"TRIP TO THE HOOD","YOUNG GENIUS","Lil Mabu",2024-04-05,106703,47,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-29T19:49:59Z,"drill de nova iorque,drill","YOUNG GENIUS ACADEMY INC.",0.709,0.492,1,-6.728,1,0.131,0.00438,0,0.074,0.568,162.077,4
spotify:track:69jsCHSEpq5Jy721drrHNG,"LIKE A COP","YOUNG GENIUS","Lil Mabu",2024-04-05,117290,29,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-29T21:00:26Z,"drill de nova iorque,drill","YOUNG GENIUS ACADEMY INC.",0.772,0.739,1,-6.564,1,0.287,0.336,0,0.0816,0.916,155.01,4
spotify:track:67TWxm38YptOo5o0WPMNfy,"TEACH ME HOW TO DRILL (feat. Fivio Foreign)","YOUNG GENIUS","Lil Mabu;Fivio Foreign",2024-04-05,196216,43,true,8jtopaclkzi6fkcxvnzy3t27q,2024-05-29T21:07:36Z,"drill de nova iorque,drill,drill do brooklyn,drill reino unido","YOUNG GENIUS ACADEMY INC.",0.607,0.749,1,-8.692,0,0.431,0.418,0.00000226,0.596,0.516,147.807,4
spotify:track:0ECWkqtSIryUYVjyJMr0yA,"Vanish","TAKE TIME","GIVĒON",2020-03-27,209406,61,false,8jtopaclkzi6fkcxvnzy3t27q,2024-06-03T19:51:03Z,"r&b","Epic/Not So Fast",0.541,0.216,10,-11.292,0,0.0311,0.301,0.0325,0.726,0.346,128.609,3
spotify:track:3RKblQNJs8HPvWBgXmq6nn,"Send It Up","Yeezus","Kanye West",2013-06-18,178040,59,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-04T20:27:11Z,"rap","Rock The World/IDJ/Kanye/LP6",0.579,0.544,9,-5.193,1,0.352,0.292,0.0000741,0.282,0.365,93.562,4
